Date,precipitation_sum,rain_sum,temperature_max,temperature_min,precipitation(nxt),rain_sum(nxt),temperature_max(nxt),temperature_min(nxt),precipitation(prev),rain_sum(prev),temperature_max(prev),temperature_min(prev),Holiday
2022-09-21,3,3,29.2,23,1.6,1.6,29,22.7,0.8,0.8,29.2,23.5,No
2022-09-22,1.6,1.6,29,22.7,1.8,1.8,29,22.1,3,3,29.2,23,No
2022-09-23,1.8,1.8,29,22.1,0.8,0.8,29.3,22.3,1.6,1.6,29,22.7,No
2022-09-24,0.8,0.8,29.3,22.3,1,1,29.9,23.1,1.8,1.8,29,22.1,No
2022-09-25,1,1,29.9,23.1,2.1,2.1,30.3,23.4,0.8,0.8,29.3,22.3,No
2022-09-26,2.1,2.1,30.3,23.4,0.4,0.4,30.5,24,1,1,29.9,23.1,No
2022-09-27,0.4,0.4,30.5,24,0.9,0.9,30.3,23.6,2.1,2.1,30.3,23.4,No
2022-09-28,0.9,0.9,30.3,23.6,0.2,0.2,29.8,22.9,0.4,0.4,30.5,24,No
2022-09-29,0.2,0.2,29.8,22.9,2,2,29.1,23.6,0.9,0.9,30.3,23.6,No
2022-09-30,2,2,29.1,23.6,19.8,19.8,30,24.3,0.2,0.2,29.8,22.9,No
2023-06-01,19.8,19.8,30,24.3,5.4,5.4,31,25.3,2,2,29.1,23.6,No
2023-06-02,5.4,5.4,31,25.3,33.7,33.7,31.5,24.1,19.8,19.8,30,24.3,No
2023-06-03,33.7,33.7,31.5,24.1,10.1,10.1,31.6,23.4,5.4,5.4,31,25.3,No
2023-06-04,10.1,10.1,31.6,23.4,3,3,31.4,25.2,33.7,33.7,31.5,24.1,No
2023-06-05,3,3,31.4,25.2,1.4,1.4,31.6,24.2,10.1,10.1,31.6,23.4,No
2023-06-06,1.4,1.4,31.6,24.2,16.7,16.7,28.8,23.4,3,3,31.4,25.2,No
2023-06-07,16.7,16.7,28.8,23.4,5.8,5.8,30.5,23.5,1.4,1.4,31.6,24.2,No
2023-06-08,5.8,5.8,30.5,23.5,23.3,23.3,29.7,23.7,16.7,16.7,28.8,23.4,No
2023-06-09,23.3,23.3,29.7,23.7,11.2,11.2,29.6,23.1,5.8,5.8,30.5,23.5,No
2023-06-10,11.2,11.2,29.6,23.1,16.8,16.8,30.3,23.8,23.3,23.3,29.7,23.7,No
2023-06-11,16.8,16.8,30.3,23.8,24.8,24.8,29.1,24.3,11.2,11.2,29.6,23.1,No
2023-06-12,24.8,24.8,29.1,24.3,16.1,16.1,28.2,24.7,16.8,16.8,30.3,23.8,No
2023-06-13,16.1,16.1,28.2,24.7,9.2,9.2,29.6,24.2,24.8,24.8,29.1,24.3,No
2023-06-14,9.2,9.2,29.6,24.2,4.7,4.7,31.1,25.3,16.1,16.1,28.2,24.7,No
